"delGcox0"	"delGd0"	"delGd"	"delGcat0"	"delGcat"	"delGan0_O2"	"delGan_O2"	"delGdis_O2"	"lambda_O2"	"stoichD_donor"	"stoichD_h2o"	"stoichD_hco3"	"stoichD_nh4"	"stoichD_hpo4"	"stoichD_hs"	"stoichD_h"	"stoichD_e"	"stoichD_acceptor"	"stoichD_biom"	"stoichA_donor"	"stoichA_h2o"	"stoichA_hco3"	"stoichA_nh4"	"stoichA_hpo4"	"stoichA_hs"	"stoichA_h"	"stoichA_e"	"stoichA_acceptor"	"stoichA_biom"	"stoichCat_donor"	"stoichCat_h2o"	"stoichCat_hco3"	"stoichCat_nh4"	"stoichCat_hpo4"	"stoichCat_hs"	"stoichCat_h"	"stoichCat_e"	"stoichCat_acceptor"	"stoichCat_biom"	"stoichAn_O2_donor"	"stoichAn_O2_h2o"	"stoichAn_O2_hco3"	"stoichAn_O2_nh4"	"stoichAn_O2_hpo4"	"stoichAn_O2_hs"	"stoichAn_O2_h"	"stoichAn_O2_e"	"stoichAn_O2_acceptor"	"stoichAn_O2_biom"	"stoichMet_O2_donor"	"stoichMet_O2_h2o"	"stoichMet_O2_hco3"	"stoichMet_O2_nh4"	"stoichMet_O2_hpo4"	"stoichMet_O2_hs"	"stoichMet_O2_h"	"stoichMet_O2_e"	"stoichMet_O2_acceptor"	"stoichMet_O2_biom"	"formula"
43.2	432	-1246.06142091934	-3740.65	-4060.28074684178	-3.83529411764697	-11.3560175727476	465.116279069767	0.111755883346236	-1	-22	10	2	0	0	42	34	0	0	0	2	0	0	0	0	-4	-4	-1	0	-1	-5	10	2	0	0	8	0	-8.5	0	-0.123529411764706	-0.217647058823529	0.235294117647059	0.0470588235294117	0	0	0.188235294117646	0	0	1	-0.235285295110942	-0.776426475554711	1.35285295110942	0.270570590221885	0	0	1.08228236088754	0	-0.94992500844301	1	"C10H16N2O8"
48.9	489	-1348.87679434023	-3929.1	-4328.63843355222	-0.150000000000006	-14.7997425635815	465.116279069767	0.104031912902608	-1	-20	10	0	0	0	46	36	0	0	0	2	0	0	0	0	-4	-4	-1	0	-1	-2	10	0	0	0	10	0	-9	0	-0.116666666666667	0.166666666666667	0.166666666666666	-0.2	0	0	0.366666666666666	0	0	1	-0.220698579569275	-0.0413971591385486	1.20698579569275	-0.2	0	0	1.40698579569274	0	-0.936287216123471	1	"C10H16O10"
83.1	831	-1486.3229146029	-5059.8	-5459.33843355222	-47.7350000000001	-55.7257686710446	465.116279069767	0.074989033081861	-1	-26	10	0	0	0	58	48	0	0	0	2	0	0	0	0	-4	-4	-1	0	-1	-2	10	0	0	0	10	0	-12	0	-0.1	0.200000000000001	0	-0.2	0	0	0.199999999999999	0	-0.15	1	-0.174989033081861	0.0500219338362786	0.74989033081861	-0.2	0	0	0.949890330818609	0	-1.04986839698233	1	"C10H16O4"
77.4	774	-1463.41522789246	-4871.35	-5270.88843355222	-28.8900000000002	-36.8807686710446	465.116279069767	0.0812454135194284	-1	-25	10	0	0	0	56	46	0	0	0	2	0	0	0	0	-4	-4	-1	0	-1	-2	10	0	0	0	10	0	-11.5	0	-0.1	0.200000000000001	0	-0.2	0	0	0.199999999999999	0	-0.1	1	-0.181245413519428	0.0375091729611438	0.812454135194284	-0.2	0	0	1.01245413519428	0	-1.03432225547343	1	"C10H16O5"
91.65	916.5	-1600.59213137901	-5342.475	-5821.92112026267	-76.0025	-91.9840373420889	465.116279069767	0.0640909132947586	-1	-29	10	0	1	0	63	51	0	0	0	2	0	0	0	0	-4	-4	-1	0	-1	-3.5	10	0	1	0	12	0	-12.75	0	-0.1	0.0500000000000003	0	-0.2	0.1	0	0.399999999999999	0	-0.225	1	-0.164090913294759	-0.174318196531655	0.640909132947586	-0.2	0.164090913294759	0	1.1690909595371	0	-1.04215914450817	1	"C10H16O5S"
80.25	802.5	-1554.77675795812	-4965.575	-5445.02112026267	-38.3125	-54.294037342089	465.116279069767	0.0754491548616547	-1	-27	10	0	1	0	59	47	0	0	0	2	0	0	0	0	-4	-4	-1	0	-1	-3.5	10	0	1	0	12	0	-11.75	0	-0.1	0.0500000000000003	0	-0.2	0.1	0	0.399999999999999	0	-0.125	1	-0.175449154861655	-0.214072042015791	0.754491548616547	-0.2	0.175449154861655	0	1.30538985833986	0	-1.01152756962444	1	"C10H16O7S"
165.75	1657.5	-2377.83817887746	-7792.325	-8751.21724052534	-320.9875	-384.913649368356	465.116279069768	0.00916473988669912	-1	-51	10	0	7	0	101	77	0	0	0	2	0	0	0	0	-4	-4	-1	0	-1	-12.5	10	0	7	0	24	0	-19.25	0	-0.1	-0.85	0	-0.2	0.7	0	1.6	0	-0.875	1	-0.109164739886699	-0.964559248583739	0.0916473988669912	-0.2	0.764153179206894	0	1.81995375728078	0	-1.05142124281896	1	"C10H16O7S7"
60.3	603	-1394.69216776112	-4306	-4705.53843355222	6.11500000000008	-3.87346083880549	465.116279069767	0.0980212625492825	-1	-22	10	0	0	0	50	40	0	0	0	2	0	0	0	0	-4	-4	-1	0	-1	-2	10	0	0	0	10	0	-10	0	-0.105	0.19	0.0499999999999998	-0.2	0	0	0.249999999999999	0	0	1	-0.203021262549282	-0.00604252509856473	1.03021262549282	-0.2	0	0	1.23021262549282	0	-0.980212625492825	1	"C10H16O8"
74.55	745.5	-1531.86907124768	-4777.125	-5256.57112026267	-19.4675000000001	-35.449037342089	465.116279069767	0.0817390713256835	-1	-26	10	0	1	0	57	45	0	0	0	2	0	0	0	0	-4	-4	-1	0	-1	-3.5	10	0	1	0	12	0	-11.25	0	-0.1	0.0500000000000003	0	-0.2	0.1	0	0.399999999999999	0	-0.0750000000000002	1	-0.181739071325684	-0.236086749639892	0.817390713256835	-0.2	0.181739071325684	0	1.3808688559082	0	-0.99456455241394	1	"C10H16O8S"
103.05	1030.5	-1806.22287822079	-5719.375	-6358.63649368356	-113.6925	-145.655574684178	465.116279069767	0.0502404414378665	-1	-34	10	0	3	0	71	55	0	0	0	2	0	0	0	0	-4	-4	-1	0	-1	-6.5	10	0	3	0	16	0	-13.75	0	-0.1	-0.25	0	-0.2	0.3	0	0.8	0	-0.325	1	-0.150240441437866	-0.576562869346132	0.502404414378665	-0.2	0.450721324313599	0	1.60384706300586	0	-1.01580606977066	1	"C10H16O8S3"
160.05	1600.5	-2354.93049216702	-7603.875	-8562.76724052534	-302.1425	-366.068649368356	465.116279069768	0.0115672453681381	-1	-50	10	0	7	0	99	75	0	0	0	2	0	0	0	0	-4	-4	-1	0	-1	-12.5	10	0	7	0	24	0	-18.75	0	-0.1	-0.85	0	-0.2	0.7	0	1.6	0	-0.825	1	-0.111567245368138	-0.994590567101726	0.115672453681381	-0.2	0.780970717576967	0	1.87761388883531	0	-1.04188585065259	1	"C10H16O8S7"
54.6	546	-1371.78448105068	-4117.55	-4517.08843355222	3.14736842105266	-9.04906797159416	465.116279069768	0.100964862168865	-1	-21	10	0	0	0	48	38	0	0	0	2	0	0	0	0	-4	-4	-1	0	-1	-2	10	0	0	0	10	0	-9.5	0	-0.110526315789474	0.178947368421053	0.105263157894737	-0.2	0	0	0.305263157894736	0	0	1	-0.211491177958338	-0.0229823559166764	1.11491177958338	-0.2	0	0	1.31491177958338	0	-0.959166190604215	1	"C10H16O9"
60.3	603	-1274.83063769545	-4306	-4585.67690348656	6.11500000000001	8.71199981808949	503.521639003379	0.111702950208291	-1	-26	10	3	0	0	47	40	0	0	0	2	0	0	0	0	-4	-4	-1	0	-1	-6	10	3	0	0	7	0	-10	0	-0.105	-0.23	0.0499999999999998	0.115	0	0	-0.0650000000000007	0	0	1	-0.216702950208291	-0.900217701249745	1.16702950208291	0.450108850624873	0	0	0.716920651458036	0	-1.11702950208291	1	"C10H17N3O4"
