"delGcox0"	"delGd0"	"delGd"	"delGcat0"	"delGcat"	"delGan0_O2"	"delGan_O2"	"delGdis_O2"	"lambda_O2"	"stoichD_donor"	"stoichD_h2o"	"stoichD_hco3"	"stoichD_nh4"	"stoichD_hpo4"	"stoichD_hs"	"stoichD_h"	"stoichD_e"	"stoichD_acceptor"	"stoichD_biom"	"stoichA_donor"	"stoichA_h2o"	"stoichA_hco3"	"stoichA_nh4"	"stoichA_hpo4"	"stoichA_hs"	"stoichA_h"	"stoichA_e"	"stoichA_acceptor"	"stoichA_biom"	"stoichCat_donor"	"stoichCat_h2o"	"stoichCat_hco3"	"stoichCat_nh4"	"stoichCat_hpo4"	"stoichCat_hs"	"stoichCat_h"	"stoichCat_e"	"stoichCat_acceptor"	"stoichCat_biom"	"stoichAn_O2_donor"	"stoichAn_O2_h2o"	"stoichAn_O2_hco3"	"stoichAn_O2_nh4"	"stoichAn_O2_hpo4"	"stoichAn_O2_hs"	"stoichAn_O2_h"	"stoichAn_O2_e"	"stoichAn_O2_acceptor"	"stoichAn_O2_biom"	"stoichMet_O2_donor"	"stoichMet_O2_h2o"	"stoichMet_O2_hco3"	"stoichMet_O2_nh4"	"stoichMet_O2_hpo4"	"stoichMet_O2_hs"	"stoichMet_O2_h"	"stoichMet_O2_e"	"stoichMet_O2_acceptor"	"stoichMet_O2_biom"	"formula"
66	660	-1337.69216776112	-4494.45	-4814.08074684178	8.7999999999999	8.79999999999993	503.909572742022	0.106502071673472	-1	-25	10	2	0	0	50	42	0	0	0	2	0	0	0	0	-4	-4	-1	0	-1	-4	10	2	0	0	8	0	-10.5	0	-0.1	4.44089209850063e-16	0	0	0	0	-8.88178419700125e-16	0	-2.22044604925031e-16	1	-0.206502071673472	-0.426008286693886	1.06502071673471	0.213004143346943	0	0	0.852016573387771	0	-1.11827175257145	1	"C10H18N2O5"
54.6	546	-1371.78448105068	-4117.55	-4517.08843355222	3.14736842105265	-9.04906797159417	465.116279069768	0.100964862168865	-1	-20	10	0	0	0	48	38	0	0	0	2	0	0	0	0	-4	-4	-1	0	-1	-1	10	0	0	0	10	0	-9.5	0	-0.110526315789474	0.289473684210527	0.105263157894737	-0.2	0	0	0.305263157894736	0	0	1	-0.211491177958338	0.188508822041662	1.11491177958338	-0.2	0	0	1.31491177958338	0	-0.959166190604215	1	"C10H18O10"
105.9	1059	-1737.76903486557	-5813.6	-6372.95380697311	-123.115	-147.087306013133	465.116279069767	0.0499029151456669	-1	-32	10	0	2	0	70	56	0	0	0	2	0	0	0	0	-4	-4	-1	0	-1	-4	10	0	2	0	14	0	-14	0	-0.1	4.44089209850063e-16	0	-0.2	0.2	0	0.599999999999999	0	-0.35	1	-0.149902915145667	-0.199611660582667	0.499029151456669	-0.2	0.299805830291334	0	1.29864081203933	0	-1.04864081203934	1	"C10H18O6S2"
191.4	1914	-2560.83045578491	-8640.35	-9679.14992723578	-405.79	-477.7069180394	477.7069180394	-0.00130080007689565	-1	-56	10	0	8	0	112	86	0	0	0	2	0	0	0	0	-4	-4	-1	0	-1	-13	10	0	8	0	26	0	-21.5	0	-0.1	-0.9	0	-0.2	0.8	0	1.8	0	-1.1	1	-0.1	-0.9	0	-0.2	0.8	0	1.8	0	-1.1	1	"C10H18O6S8"
100.2	1002	-1714.86134815512	-5625.15	-6184.50380697311	-104.27	-128.242306013134	465.116279069768	0.0544706549742607	-1	-31	10	0	2	0	68	54	0	0	0	2	0	0	0	0	-4	-4	-1	0	-1	-4	10	0	2	0	14	0	-13.5	0	-0.1	4.44089209850063e-16	0	-0.2	0.2	0	0.6	0	-0.3	1	-0.154470654974261	-0.217882619897042	0.544706549742606	-0.2	0.308941309948521	0	1.36258916963965	0	-1.03535384215252	1	"C10H18O7S2"
185.7	1857	-2537.92276907447	-8451.9	-9490.69992723578	-386.945	-458.8619180394	465.116279069768	0.000658998922979191	-1	-55	10	0	8	0	110	84	0	0	0	2	0	0	0	0	-4	-4	-1	0	-1	-13	10	0	8	0	26	0	-21	0	-0.1	-0.899999999999999	0	-0.2	0.8	0	1.8	0	-1.05	1	-0.100658998922979	-0.908566985998729	0.00658998922979191	-0.2	0.805271991383834	0	1.81713397199746	0	-1.06383897738256	1	"C10H18O7S8"
66	660	-1417.59985447157	-4494.45	-4893.98843355222	8.79999999999998	0.809231328955527	468.683636864422	0.0959325659567617	-1	-22	10	0	0	0	52	42	0	0	0	2	0	0	0	0	-4	-4	-1	0	-1	-1	10	0	0	0	10	0	-10.5	0	-0.1	0.3	0	-0.2	0	0	0.199999999999999	0	-2.22044604925031e-16	1	-0.195932565956762	0.204067434043239	0.959325659567617	-0.2	0	0	1.15932565956762	0	-1.007291942546	1	"C10H18O8"
151.5	1515	-2240.66127539091	-7321.2	-8200.18455381489	-273.875	-329.810380697311	465.116279069768	0.016500347947597	-1	-46	10	0	6	0	94	72	0	0	0	2	0	0	0	0	-4	-4	-1	0	-1	-10	10	0	6	0	22	0	-18	0	-0.1	-0.6	0	-0.2	0.6	0	1.4	0	-0.75	1	-0.116500347947597	-0.76500347947597	0.16500347947597	-0.2	0.699002087685582	0	1.76300765484713	0	-1.04700626305675	1	"C10H18O8S6"
60.3	603	-1394.69216776112	-4306	-4705.53843355222	6.11500000000004	-3.87346083880553	465.116279069767	0.0980212625492825	-1	-21	10	0	0	0	50	40	0	0	0	2	0	0	0	0	-4	-4	-1	0	-1	-1	10	0	0	0	10	0	-10	0	-0.105	0.295	0.0499999999999998	-0.2	0	0	0.249999999999999	0	0	1	-0.203021262549282	0.196978737450718	1.03021262549282	-0.2	0	0	1.23021262549282	0	-0.980212625492825	1	"C10H18O9"
88.8	888	-1669.04597473423	-5248.25	-5807.60380697311	-66.5799999999999	-90.5523060131333	465.116279069767	0.0644954417529137	-1	-29	10	0	2	0	64	50	0	0	0	2	0	0	0	0	-4	-4	-1	0	-1	-4	10	0	2	0	14	0	-12.5	0	-0.1	0	0	-0.2	0.2	0	0.6	0	-0.2	1	-0.164495441752914	-0.257981767011655	0.644954417529137	-0.2	0.328990883505827	0	1.50293618454079	0	-1.00619302191142	1	"C10H18O9S2"
